,label,transcript
0,M14_B3_CW72_M8,go
1,CM13_B2_UW98_M3,ring
2,F04_B1_UW85_M5,telephone
3,M16_B3_CW42_M8,NA
4,M14_B1_UW71_M5,gigantic
5,M14_B2_LY_M3,yankee
6,M14_B2_CW63_M7,meg
7,M14_B2_UW91_M3,orange
8,CM13_B2_UW73_M6,cowhide
9,CM13_B1_CW84_M3,call
10,M14_B3_CW79_M5,my
11,CM13_B3_CW54_M5,out
12,CM13_B3_CW13_M7,4
13,F04_B2_CW3_M5,and
14,CM13_B1_CW45_M3,she
15,CM13_B1_LS_M5,ciara
16,F04_B3_UW25_M3,rendezvous
17,M16_B1_C7_M7,NA
18,CM13_B3_CW87_M6,it's
19,CM13_B3_CW1_M8,the
20,CM13_B2_UW14_M6,voyage
21,F04_B1_LJ_M3,juliet
22,CM13_B1_UW59_M7,beguile
23,M16_B3_LF_M8,fog trucks
24,M14_B3_CW62_M7,1
25,M14_B1_UW3_M3,frugality
26,CM13_B1_CW74_M3,number
27,CM13_B3_UW1_M5,enthused
28,M14_B1_UW21_M7,achieve
29,CM13_B1_CW5_M5,2
30,CM13_B3_UW92_M8,crying
31,F04_B3_UW41_M3,yeah
32,M14_B1_UW34_M3,habitat
33,F04_B3_C6_M6,escape
34,CM13_B3_CW98_M7,heart
35,CM13_B3_UW78_M7,newfound
36,M14_B2_UW4_M8,penny worth
37,M16_B2_CW68_M3,NA
38,F04_B1_LI_M5,india
39,M16_B2_CW55_M7,NA
40,CM13_B2_UW73_M8,cowhide
41,CM13_B3_LD_M6,delta
42,CM13_B1_UW87_M8,knife
43,M16_B1_UW97_M6,NA
44,F04_B3_C10_M8,line
45,M16_B1_D6_M3,NA
46,CM13_B3_UW83_M6,jumping
47,CM13_B3_D4_M8,4
48,M16_B1_UW93_M5,1q
49,F04_B2_UW40_M3,NA
50,F04_B1_CW49_M7,NA
51,F04_B3_UW63_M8,ceridian
52,F04_B2_CW27_M7,had
53,M16_B3_CW8_M7,you
54,M14_B1_CW70_M5,more
55,CM13_B1_UW61_M5,barros
56,M14_B3_CW61_M5,her
57,M16_B3_UW10_M6,ukoy
58,M16_B1_CW25_M8,NA
59,CM13_B2_UW94_M7,feather
60,CM13_B3_UW63_M3,clergyman
61,M16_B1_CW12_M8,why
62,M14_B2_UW56_M6,father
63,F04_B3_CW23_M8,NA
64,CM13_B1_CW22_M3,b
65,M14_B3_CW10_M7,NA
66,M14_B2_C11_M8,paragraph
67,M14_B2_CW87_M8,it's
68,M16_B2_UW15_M8,abbreviated
69,CM13_B1_CW80_M7,van
70,CM13_B1_CW81_M8,first
71,CM13_B1_CW99_M3,oh
72,CM13_B3_CW74_M8,number
73,M14_B3_UW99_M6,elaine
74,M14_B3_UW84_M3,pajamas
75,CM13_B2_C2_M6,backspace
76,CM13_B3_CW77_M8,could
77,CM13_B2_CW2_M8,of
78,F04_B2_CW71_M6,right
79,CM13_B1_UW86_M5,NA
80,M16_B1_CW20_M6,NA
81,CM13_B3_CW36_M7,when
82,CM13_B3_UW42_M7,massachusetts
83,F04_B2_CW39_M6,bed
84,CM13_B1_D4_M6,4
85,M16_B2_UW20_M5,NA
86,M14_B2_CW4_M3,a
87,F04_B1_LK_M3,NA
88,M16_B2_CW56_M7,then
89,F04_B2_UW77_M5,NA
90,F04_B1_UW7_M6,able-bodied
